date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:52	4026/4026	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-57-precomposed.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-57-precomposed.png	(from http://getbootstrap.com/)
15:46:53	2711/2711	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/ico/favicon.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/ico/favicon.png	(from http://getbootstrap.com/)
15:46:54	11624/11624	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/index.html	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/index-2.html	(from http://getbootstrap.com/)
15:46:54	19057/19057	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/getting-started.html	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/getting-started.html	(from http://getbootstrap.com/)
15:46:55	26741/26741	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/scaffolding.html	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/scaffolding.html	(from http://getbootstrap.com/)
15:46:56	95897/95897	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/base-css.html	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/base-css.html	(from http://getbootstrap.com/)
15:46:57	108741/108741	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/components.html	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/components.html	(from http://getbootstrap.com/)
15:46:58	92717/92717	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/javascript.html	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/javascript.html	(from http://getbootstrap.com/)
15:46:58	8036/8036	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/customize.html	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/customize.html	(from http://getbootstrap.com/)
15:47:00	13853/13853	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/extend.html	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/extend.html	(from http://getbootstrap.com/)
15:47:03	10572/10572	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/img/bs-docs-responsive-illustrations.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/img/bs-docs-responsive-illustrations.png	(from http://getbootstrap.com/)
15:47:05	11244/11244	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/img/bs-docs-bootstrap-features.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/img/bs-docs-bootstrap-features.png	(from http://getbootstrap.com/)
15:47:05	30968/30968	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/img/bs-docs-twitter-github.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/img/bs-docs-twitter-github.png	(from http://getbootstrap.com/)
15:47:11	85732/85732	---M--	200	added ('OK')	application/zip	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/bootstrap.zip	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/bootstrap.zip	(from http://getbootstrap.com/)
15:47:14	50225/50225	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/img/example-sites/soundready.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/img/example-sites/soundready.png	(from http://getbootstrap.com/)
15:47:14	48259/48259	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/img/example-sites/kippt.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/img/example-sites/kippt.png	(from http://getbootstrap.com/)
15:47:15	7258/7258	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/img/example-sites/jshint.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/img/example-sites/jshint.png	(from http://getbootstrap.com/)
15:47:17	1753/1753	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-transition.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-transition.js	(from http://getbootstrap.com/)
15:47:18	2521/2521	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-alert.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-alert.js	(from http://getbootstrap.com/)
15:47:19	6653/6653	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-modal.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-modal.js	(from http://getbootstrap.com/)
15:47:20	92629/92629	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/jquery.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/jquery.js	(from http://getbootstrap.com/)
